"ItemType","Path","SizeBytes","SizeHuman","Category","LastAccessTime","LastWriteTime","RiskLevel","SuggestedAction","EstimatedReleaseBytes","EstimatedReleaseHuman","Reason"
"Directory","C:\Users\m1389\AppData\Local\Android\Sdk\system-images\android-36.1","2545445167","2.37 GB","未分类","2026/4/10 15:45:33","2026/2/24 19:11:59","高风险","保留不动","2545445167","2.37 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Windows\SoftwareDistribution.bak-20251026-233358\Download","2537445002","2.36 GB","未分类","2026/4/10 15:39:22","2025/10/27 7:37:29","高风险","保留不动","2537445002","2.36 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Windows\Panther","2531708324","2.36 GB","未分类","2026/4/10 15:36:17","2026/3/18 21:16:01","高风险","保留不动","2531708324","2.36 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Windows\SoftwareDistribution.bak-20251026-233358\Download\25c31c00542d6e7c93a0e34d68d22ac5","2410188139","2.24 GB","下载目录","2026/4/10 15:39:22","2025/10/26 23:07:33","高风险","保留不动","2410188139","2.24 GB","下载目录常包含历史安装包、压缩包和媒体文件，需要结合访问时间判定。"
"Directory","C:\ProgramData\Adobe","2407206046","2.24 GB","未分类","2026/4/10 15:24:03","2025/10/12 0:11:06","高风险","保留不动","2407206046","2.24 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\ProgramData\Adobe\CameraRaw","2405988303","2.24 GB","未分类","2026/4/10 15:24:03","2025/10/11 23:58:33","高风险","保留不动","2405988303","2.24 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_5bc67ef17169627e","2337238876","2.18 GB","未分类","2026/4/10 15:45:33","2026/3/7 15:43:20","高风险","保留不动","2337238876","2.18 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Users\m1389\AppData\Local\npm-cache","2326802542","2.17 GB","未分类","2026/4/10 15:30:39","2025/11/10 2:37:05","高风险","保留不动","2326802542","2.17 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Users\m1389\OneDrive\Desktop\临时","2295804582","2.14 GB","桌面堆积文件","2026/4/10 15:35:54","2026/4/6 23:12:46","高风险","保留不动","2295804582","2.14 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Program Files\Microsoft Visual Studio\2022\Community\VC","2276463226","2.12 GB","未分类","2026/4/10 15:22:04","2025/11/9 23:26:47","高风险","保留不动","2276463226","2.12 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Program Files\Microsoft Office\root\Office16","2266661917","2.11 GB","未分类","2026/4/10 15:41:46","2026/4/4 16:31:13","高风险","保留不动","2266661917","2.11 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Users\m1389\AppData\Roaming\Code\User","2240017216","2.09 GB","未分类","2026/4/10 15:45:31","2026/4/2 16:48:27","高风险","保留不动","2240017216","2.09 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Users\m1389\AppData\Roaming\kingsoft\wps\addons\pool","2216201891","2.06 GB","未分类","2026/4/10 15:34:07","2025/12/15 13:04:04","高风险","保留不动","2216201891","2.06 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Users\m1389\AppData\Roaming\kingsoft\wps\addons\pool\win-x64","2215684220","2.06 GB","未分类","2026/4/10 15:34:07","2026/4/9 1:52:22","高风险","保留不动","2215684220","2.06 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
