"ItemType","Path","SizeBytes","SizeHuman","Category","LastAccessTime","LastWriteTime","RiskLevel","SuggestedAction","EstimatedReleaseBytes","EstimatedReleaseHuman","Reason","Hash","DuplicateGroup"
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\flux\林鹤-去伪存真-Flux写实棚拍摄影质感大模型_V2.5.safetensors","23802922928","22.17 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:03","2025/11/15 20:42:08","中风险","需要用户确认","23802922928","22.17 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\flux\F.1极致摄影大模型_v1.safetensors","11901515888","11.08 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:03","2025/11/14 23:59:21","中风险","需要用户确认","11901515888","11.08 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\flux\F1_ZA_最美古风大模型_浮生若梦_ZA_浮生若梦_V1.safetensors","11901516440","11.08 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:03","2025/9/20 12:43:06","中风险","需要用户确认","11901516440","11.08 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\flux\FLUX大模型_2.5D国风古风美人_古风美人.safetensors","12236819020","11.40 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:03","2025/9/20 12:12:35","中风险","需要用户确认","12236819020","11.40 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\Illustrious\星美二次元_illustriousAnime-光影氛围感_1.0.safetensors","6938040874","6.46 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/11/15 13:01:13","中风险","需要用户确认","6938040874","6.46 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\Illustrious\hassakuXLIllustrious_v32.safetensors","6938065408","6.46 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:03","2025/11/15 8:27:57","中风险","需要用户确认","6938065408","6.46 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\Illustrious\One obsession-一念痴迷动漫 含热门角色_09_极致光影_内置VAE.safetensors","7105349844","6.62 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/9/23 20:29:24","中风险","需要用户确认","7105349844","6.62 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\Illustrious\oneObsession_1424DNsfw.safetensors","7140416588","6.65 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/11/15 0:42:53","中风险","需要用户确认","7140416588","6.65 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\Illustrious\oneObsession_v18.safetensors","6938040393","6.46 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/11/15 0:12:25","中风险","需要用户确认","6938040393","6.46 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\Illustrious\rinAnim8drawIllustriousXL_v20.safetensors","6938040706","6.46 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/11/15 13:10:44","中风险","需要用户确认","6938040706","6.46 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\NoobAI\One obsession-一念痴迷动漫 含热门角色_16NoobAi-内置VAE.safetensors","6938040682","6.46 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/9/23 13:16:57","中风险","需要用户确认","6938040682","6.46 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\NoobAI\oneObsession_v16Noobai.safetensors","6938040682","6.46 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/11/15 0:26:44","中风险","需要用户确认","6938040682","6.46 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
